123892,"Georgia"
123892,"Georgia"
96879,"Georgia"
96879,"Georgia"
82007,"Texas"
82007,"Texas"
103675,"Georgia"
103675,"Georgia"
65015,"Kentucky"
65015,"Kentucky"
103675,"Georgia"
103675,"Georgia"
89066,"Florida"
89066,"Florida"
80017,"South Carolina"
80017,"South Carolina"
103675,"Georgia"
103675,"Georgia"
103675,"Georgia"
103675,"Georgia"
104933,"Colorado"
104933,"Colorado"
103675,"Georgia"
103675,"Georgia"
73283,"North Carolina"
73283,"North Carolina"
130742,"Virginia"
130742,"Virginia"
100191,"New Hampshire"
100191,"New Hampshire"
95231,"Maine"
95231,"Maine"
59651,"Georgia"
59651,"Georgia"
58923,"Florida"
58923,"Florida"
82341,"Florida"
82341,"Florida"
62856,"Georgia"
62856,"Georgia"
104816,"Massachusetts"
104816,"Massachusetts"
138888,"Illinois"
138888,"Illinois"
92845,"Texas"
92845,"Texas"
99440,"Georgia"
99440,"Georgia"
88748,"North Carolina"
88748,"North Carolina"
104920,"Georgia"
104920,"Georgia"
116979,"Georgia"
116979,"Georgia"
103502,"New York"
103502,"New York"
89127,"Florida"
89127,"New York"
63011,"Florida"
63011,"New York"
101075,"Florida"
101075,"New York"
104947,"Tennessee"
104947,"Tennessee"
104947,"Tennessee"
104947,"Tennessee"
92096,"Washington"
92096,"Washington"
63201,"Texas"
63201,"Texas"
56267,"Texas"
56267,"Texas"
56059,"Pennsylvania"
56059,"Pennsylvania"
99381,"Alabama"
99381,"Alabama"
63060,"Alabama"
63060,"Alabama"
121694,"Alabama"
121694,"Alabama"
92938,"Alabama"
92938,"Alabama"
59779,"Alabama"
59779,"Alabama"
74601,"Alabama"
74601,"Alabama"
60533,"Alabama"
60533,"Alabama"
58102,"Utah"
58102,"Utah"
99443,"Missouri"
99443,"Missouri"
63200,"North Carolina"
63200,"North Carolina"
88763,"Georgia"
88763,"Georgia"
83494,"Georgia"
83494,"Georgia"
71500,"North Carolina"
71500,"North Carolina"
63361,"California"
63361,"California"
123345,"Pennsylvania"
123345,"Pennsylvania"
59954,"Virginia"
59954,"Virginia"
89312,"Virginia"
89312,"Virginia"
121921,"North Carolina"
121921,"North Carolina"
59663,"New York"
59663,"New York"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
138504,"California"
121644,"Kansas"
121644,"Kansas"
99441,"California"
99441,"California"
85818,"New York"
85818,"New York"
62856,"Georgia"
62856,"Georgia"
85704,"Missouri"
85704,"Missouri"
58270,"Missouri"
58270,"Missouri"
55668,"Missouri"
55668,"Missouri"
85607,"Oregon"
85607,"Oregon"
62932,"Connecticut"
62932,"Connecticut"
107646,"New York"
107646,"New York"
63356,"Arizona"
63356,"Arizona"
104843,"Kentucky"
104843,"Kentucky"
88747,"Tennessee"
88747,"Tennessee"
92656,"Nebraska"
92656,"Nebraska"
92868,"Kansas"
92868,"Kansas"
92868,"Kansas"
92868,"Kansas"
88900,"Wisconsin"
88900,"Wisconsin"
123346,"Massachusetts"
123346,"Massachusetts"
90181,"Georgia"
90181,"Georgia"
56215,"Georgia"
56215,"Georgia"
58904,"Missouri"
58904,"Missouri"
97928,"Colorado"
97928,"Colorado"
56224,"Michigan"
56224,"Michigan"
80019,"Florida"
80019,"Florida"
92860,"Tennessee"
92860,"Tennessee"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
121860,"Oklahoma"
121860,"Oklahoma"
88758,"Oklahoma"
88758,"Oklahoma"
70114,"Florida"
70114,"Florida"
120307,"California"
120307,"California"
96496,"Virginia"
96496,"Virginia"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
72944,"Michigan"
90971,"New York"
90971,"New York"
72944,"Michigan"
72944,"Michigan"
83993,"Texas"
83993,"Texas"
104949,"Wisconsin"
104949,"Wisconsin"
92888,"Vermont"
92888,"Vermont"
88057,"Indiana"
88057,"Indiana"
104852,"Indiana"
104852,"Indiana"
123409,"Michigan"
123409,"Michigan"
88903,"Louisiana"
88903,"Louisiana"
88903,"Louisiana"
88903,"Louisiana"
